                          Lexeme   Line                 Token Type                 Value     IsLeaf         Parent Token
                 ---------------    ---                     idList       ---------------         No       --------------
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---                   more_ids       ---------------         No       --------------
                               ]     23                     TK_SQR       ---------------        Yes       optionalReturn
                               ;     23                     TK_SEM       ---------------        Yes           returnStmt
                             end     24                     TK_END       ---------------        Yes             function
                 ---------------    ---             otherFunctions       ---------------         No       --------------
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---             otherFunctions       ---------------         No       --------------
                 ---------------    ---                    program       ---------------         No       --------------
                           _main     27                    TK_MAIN       ---------------        Yes         mainFunction
                 ---------------    ---               mainFunction       ---------------         No       --------------
                          record     28                  TK_RECORD       ---------------        Yes       typeDefinition
                 ---------------    ---             typeDefinition       ---------------         No       --------------
                            #one     28                    TK_RUID       ---------------        Yes       typeDefinition
                            type     29                    TK_TYPE       ---------------        Yes      fieldDefinition
                 ---------------    ---            fieldDefinition       ---------------         No       --------------
                            real     29                    TK_REAL       ---------------        Yes    primitiveDatatype
                 ---------------    ---          primitiveDatatype       ---------------         No       --------------
                 ---------------    ---                  fieldType       ---------------         No       --------------
                               :     29                   TK_COLON       ---------------        Yes      fieldDefinition
                               x     29                 TK_FIELDID       ---------------        Yes      fieldDefinition
                               ;     29                     TK_SEM       ---------------        Yes      fieldDefinition
                 ---------------    ---           fieldDefinitions       ---------------         No       --------------
                            type     30                    TK_TYPE       ---------------        Yes      fieldDefinition
                 ---------------    ---            fieldDefinition       ---------------         No       --------------
                            real     30                    TK_REAL       ---------------        Yes    primitiveDatatype
                 ---------------    ---          primitiveDatatype       ---------------         No       --------------
                 ---------------    ---                  fieldType       ---------------         No       --------------
                               :     30                   TK_COLON       ---------------        Yes      fieldDefinition
                               y     30                 TK_FIELDID       ---------------        Yes      fieldDefinition
                               ;     30                     TK_SEM       ---------------        Yes      fieldDefinition
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---                 moreFields       ---------------         No       --------------
                       endrecord     31               TK_ENDRECORD       ---------------        Yes       typeDefinition
                 ---------------    ---          actualOrRedefined       ---------------         No       --------------
                 ---------------    ---            typeDefinitions       ---------------         No       --------------
                      definetype     32              TK_DEFINETYPE       ---------------        Yes       definetypestmt
                 ---------------    ---             definetypestmt       ---------------         No       --------------
                          record     32                  TK_RECORD       ---------------        Yes                    A
                 ---------------    ---                          A       ---------------         No       --------------
                            #one     32                    TK_RUID       ---------------        Yes       definetypestmt
                              as     32                      TK_AS       ---------------        Yes       definetypestmt
                          #point     32                    TK_RUID       ---------------        Yes       definetypestmt
                 ---------------    ---          actualOrRedefined       ---------------         No       --------------
                 ---------------    ---            typeDefinitions       ---------------         No       --------------
                      definetype     33              TK_DEFINETYPE       ---------------        Yes       definetypestmt
                 ---------------    ---             definetypestmt       ---------------         No       --------------
                          record     33                  TK_RECORD       ---------------        Yes                    A
                 ---------------    ---                          A       ---------------         No       --------------
                            #two     33                    TK_RUID       ---------------        Yes       definetypestmt
                              as     33                      TK_AS       ---------------        Yes       definetypestmt
                           #line     33                    TK_RUID       ---------------        Yes       definetypestmt
                 ---------------    ---          actualOrRedefined       ---------------         No       --------------
                 ---------------    ---            typeDefinitions       ---------------         No       --------------
                           union     34                   TK_UNION       ---------------        Yes       typeDefinition
                 ---------------    ---             typeDefinition       ---------------         No       --------------
                           #four     34                    TK_RUID       ---------------        Yes       typeDefinition
                            type     35                    TK_TYPE       ---------------        Yes      fieldDefinition
                 ---------------    ---            fieldDefinition       ---------------         No       --------------
                           #line     35                    TK_RUID       ---------------        Yes  constructedDatatype
                 ---------------    ---        constructedDatatype       ---------------         No       --------------
                 ---------------    ---                  fieldType       ---------------         No       --------------
                               :     35                   TK_COLON       ---------------        Yes      fieldDefinition
                              ln     35                 TK_FIELDID       ---------------        Yes      fieldDefinition
                               ;     35                     TK_SEM       ---------------        Yes      fieldDefinition
                 ---------------    ---           fieldDefinitions       ---------------         No       --------------
                            type     36                    TK_TYPE       ---------------        Yes      fieldDefinition
                 ---------------    ---            fieldDefinition       ---------------         No       --------------
                          #point     36                    TK_RUID       ---------------        Yes  constructedDatatype
                 ---------------    ---        constructedDatatype       ---------------         No       --------------
                 ---------------    ---                  fieldType       ---------------         No       --------------
                               :     36                   TK_COLON       ---------------        Yes      fieldDefinition
                              pt     36                 TK_FIELDID       ---------------        Yes      fieldDefinition
                               ;     36                     TK_SEM       ---------------        Yes      fieldDefinition
                            type     37                    TK_TYPE       ---------------        Yes      fieldDefinition
                 ---------------    ---            fieldDefinition       ---------------         No       --------------
                       #traingle     37                    TK_RUID       ---------------        Yes  constructedDatatype
                 ---------------    ---        constructedDatatype       ---------------         No       --------------
                 ---------------    ---                  fieldType       ---------------         No       --------------
                               :     37                   TK_COLON       ---------------        Yes      fieldDefinition
                              tr     37                 TK_FIELDID       ---------------        Yes      fieldDefinition
                               ;     37                     TK_SEM       ---------------        Yes      fieldDefinition
                 ---------------    ---                 moreFields       ---------------         No       --------------
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---                 moreFields       ---------------         No       --------------
                        endunion     38                TK_ENDUNION       ---------------        Yes       typeDefinition
                 ---------------    ---          actualOrRedefined       ---------------         No       --------------
                 ---------------    ---            typeDefinitions       ---------------         No       --------------
                      definetype     39              TK_DEFINETYPE       ---------------        Yes       definetypestmt
                 ---------------    ---             definetypestmt       ---------------         No       --------------
                          record     39                  TK_RECORD       ---------------        Yes                    A
                 ---------------    ---                          A       ---------------         No       --------------
                          #three     39                    TK_RUID       ---------------        Yes       definetypestmt
                              as     39                      TK_AS       ---------------        Yes       definetypestmt
                       #triangle     39                    TK_RUID       ---------------        Yes       definetypestmt
                 ---------------    ---          actualOrRedefined       ---------------         No       --------------
                 ---------------    ---            typeDefinitions       ---------------         No       --------------
                          record     40                  TK_RECORD       ---------------        Yes       typeDefinition
                 ---------------    ---             typeDefinition       ---------------         No       --------------
                          #three     40                    TK_RUID       ---------------        Yes       typeDefinition
                            type     41                    TK_TYPE       ---------------        Yes      fieldDefinition
                 ---------------    ---            fieldDefinition       ---------------         No       --------------
                           #line     41                    TK_RUID       ---------------        Yes  constructedDatatype
                 ---------------    ---        constructedDatatype       ---------------         No       --------------
                 ---------------    ---                  fieldType       ---------------         No       --------------
                               :     41                   TK_COLON       ---------------        Yes      fieldDefinition
                            base     41                 TK_FIELDID       ---------------        Yes      fieldDefinition
                               ;     41                     TK_SEM       ---------------        Yes      fieldDefinition
                 ---------------    ---           fieldDefinitions       ---------------         No       --------------
                            type     42                    TK_TYPE       ---------------        Yes      fieldDefinition
                 ---------------    ---            fieldDefinition       ---------------         No       --------------
                           #line     42                    TK_RUID       ---------------        Yes  constructedDatatype
